Sales,Date,Region
1590.0,27-03-2018,south
1533.0,27-03-2018,east
1704.0,27-03-2018,west
1671.0,28-03-2018,north
1527.0,28-03-2018,south
1524.0,28-03-2018,east
1629.0,28-03-2018,west
1722.0,29-03-2018,north
1557.0,29-03-2018,south
1686.0,29-03-2018,east
1779.0,29-03-2018,west
1734.0,30-03-2018,north
1776.0,30-03-2018,south
1554.0,30-03-2018,east
1725.0,30-03-2018,west
1617.0,31-03-2018,north
1635.0,31-03-2018,south
1605.0,31-03-2018,east
1785.0,31-03-2018,west
1761.0,01-04-2018,north
1530.0,01-04-2018,south
1710.0,01-04-2018,east
1506.0,01-04-2018,west
1509.0,02-04-2018,north
1797.0,02-04-2018,south
1662.0,02-04-2018,east
1530.0,02-04-2018,west
1767.0,03-04-2018,north
1767.0,03-04-2018,south
1614.0,03-04-2018,east
1533.0,03-04-2018,west
1767.0,04-04-2018,north
1761.0,04-04-2018,south
1566.0,04-04-2018,east
1623.0,04-04-2018,west
1506.0,05-04-2018,north
1512.0,05-04-2018,south
1692.0,05-04-2018,east
1749.0,05-04-2018,west
1701.0,06-04-2018,north
1752.0,06-04-2018,south
1632.0,06-04-2018,east
1515.0,06-04-2018,west
1725.0,07-04-2018,north
1611.0,07-04-2018,south
1788.0,07-04-2018,east
1617.0,07-04-2018,west
1656.0,08-04-2018,north
1674.0,08-04-2018,south
1557.0,08-04-2018,east
1701.0,08-04-2018,west
1686.0,09-04-2018,north
1782.0,09-04-2018,south
1641.0,09-04-2018,east
1557.0,09-04-2018,west
1686.0,10-04-2018,north
1527.0,10-04-2018,south
1698.0,10-04-2018,east
1728.0,10-04-2018,west
1671.0,11-04-2018,north
1527.0,11-04-2018,south
1581.0,11-04-2018,east
1764.0,11-04-2018,west
1653.0,12-04-2018,north
1626.0,12-04-2018,south
1782.0,12-04-2018,east
1749.0,12-04-2018,west
1539.0,13-04-2018,north
1752.0,13-04-2018,south
1674.0,13-04-2018,east
1749.0,13-04-2018,west
1569.0,14-04-2018,north
1794.0,14-04-2018,south
1674.0,14-04-2018,east
1638.0,14-04-2018,west
1515.0,15-04-2018,north
1527.0,15-04-2018,south
1602.0,15-04-2018,east
1653.0,15-04-2018,west
1602.0,16-04-2018,north
1707.0,16-04-2018,south
1548.0,16-04-2018,east
1527.0,16-04-2018,west
1599.0,17-04-2018,north
1728.0,17-04-2018,south
1704.0,17-04-2018,east
1539.0,17-04-2018,west
1545.0,18-04-2018,north
1797.0,18-04-2018,south
1515.0,18-04-2018,east
1719.0,18-04-2018,west
1713.0,19-04-2018,north
1674.0,19-04-2018,south
1767.0,19-04-2018,east
1767.0,19-04-2018,west
1668.0,20-04-2018,north
1620.0,20-04-2018,south
1677.0,20-04-2018,east
1509.0,20-04-2018,west
1683.0,21-04-2018,north
1743.0,21-04-2018,south
1644.0,21-04-2018,east
1578.0,21-04-2018,west
1572.0,22-04-2018,north
1545.0,22-04-2018,south
1557.0,22-04-2018,east
1626.0,22-04-2018,west
1710.0,23-04-2018,north
1659.0,23-04-2018,south
1665.0,23-04-2018,east
1521.0,23-04-2018,west
1503.0,24-04-2018,north
1650.0,24-04-2018,south
1689.0,24-04-2018,east
1743.0,24-04-2018,west
1623.0,25-04-2018,north
1503.0,25-04-2018,south
1758.0,25-04-2018,east
1557.0,25-04-2018,west
1713.0,26-04-2018,north
1734.0,26-04-2018,south
1740.0,26-04-2018,east
1563.0,26-04-2018,west
1716.0,27-04-2018,north
1791.0,27-04-2018,south
1674.0,27-04-2018,east
1716.0,27-04-2018,west
1632.0,28-04-2018,north
1641.0,28-04-2018,south
1584.0,28-04-2018,east
1590.0,28-04-2018,west
1713.0,29-04-2018,north
1593.0,29-04-2018,south
1740.0,29-04-2018,east
1638.0,29-04-2018,west
1653.0,30-04-2018,north
1590.0,30-04-2018,south
1593.0,30-04-2018,east
1602.0,30-04-2018,west
1785.0,01-05-2018,north
1764.0,01-05-2018,south
1506.0,01-05-2018,east
1536.0,01-05-2018,west
1623.0,02-05-2018,north
1674.0,02-05-2018,south
1791.0,02-05-2018,east
1653.0,02-05-2018,west
1785.0,03-05-2018,north
1569.0,03-05-2018,south
1500.0,03-05-2018,east
1770.0,03-05-2018,west
1653.0,04-05-2018,north
1590.0,04-05-2018,south
1671.0,04-05-2018,east
1629.0,04-05-2018,west
1578.0,05-05-2018,north
1665.0,05-05-2018,south
1575.0,05-05-2018,east
1587.0,05-05-2018,west
1674.0,06-05-2018,north
1785.0,06-05-2018,south
1719.0,06-05-2018,east
1617.0,06-05-2018,west
1794.0,07-05-2018,north
1563.0,07-05-2018,south
1728.0,07-05-2018,east
1740.0,07-05-2018,west
1617.0,08-05-2018,north
1650.0,08-05-2018,south
1728.0,08-05-2018,east
1635.0,08-05-2018,west
1584.0,09-05-2018,north
1647.0,09-05-2018,south
1551.0,09-05-2018,east
1512.0,09-05-2018,west
1737.0,10-05-2018,north
1551.0,10-05-2018,south
1515.0,10-05-2018,east
1716.0,10-05-2018,west
1746.0,11-05-2018,north
1677.0,11-05-2018,south
1584.0,11-05-2018,east
1617.0,11-05-2018,west
1743.0,12-05-2018,north
1533.0,12-05-2018,south
1521.0,12-05-2018,east
1578.0,12-05-2018,west
1545.0,13-05-2018,north
1713.0,13-05-2018,south
1665.0,13-05-2018,east
1644.0,13-05-2018,west
1776.0,14-05-2018,north
1560.0,14-05-2018,south
1644.0,14-05-2018,east
1503.0,14-05-2018,west
1800.0,15-05-2018,north
1758.0,15-05-2018,south
1701.0,15-05-2018,east
1671.0,15-05-2018,west
1593.0,16-05-2018,north
1617.0,16-05-2018,south
1626.0,16-05-2018,east
1629.0,16-05-2018,west
1728.0,17-05-2018,north
1506.0,17-05-2018,south
1590.0,17-05-2018,east
1626.0,17-05-2018,west
1782.0,18-05-2018,north
1572.0,18-05-2018,south
1539.0,18-05-2018,east
1509.0,18-05-2018,west
1788.0,19-05-2018,north
1713.0,19-05-2018,south
1626.0,19-05-2018,east
1629.0,19-05-2018,west
1548.0,20-05-2018,north
1716.0,20-05-2018,south
1752.0,20-05-2018,east
1638.0,20-05-2018,west
1575.0,21-05-2018,north
1671.0,21-05-2018,south
1626.0,21-05-2018,east
1572.0,21-05-2018,west
1572.0,22-05-2018,north
1569.0,22-05-2018,south
1581.0,22-05-2018,east
1521.0,22-05-2018,west
1641.0,23-05-2018,north
1692.0,23-05-2018,south
1713.0,23-05-2018,east
1563.0,23-05-2018,west
1524.0,24-05-2018,north
1533.0,24-05-2018,south
1695.0,24-05-2018,east
1533.0,24-05-2018,west
1599.0,25-05-2018,north
1665.0,25-05-2018,south
1713.0,25-05-2018,east
1644.0,25-05-2018,west
1776.0,26-05-2018,north
1530.0,26-05-2018,south
1650.0,26-05-2018,east
1512.0,26-05-2018,west
1629.0,27-05-2018,north
1707.0,27-05-2018,south
1521.0,27-05-2018,east
1761.0,27-05-2018,west
1755.0,28-05-2018,north
1659.0,28-05-2018,south
1800.0,28-05-2018,east
1539.0,28-05-2018,west
1713.0,29-05-2018,north
1752.0,29-05-2018,south
1629.0,29-05-2018,east
1635.0,29-05-2018,west
1674.0,30-05-2018,north
1701.0,30-05-2018,south
1614.0,30-05-2018,east
1794.0,30-05-2018,west
1725.0,31-05-2018,north
1659.0,31-05-2018,south
1536.0,31-05-2018,east
1620.0,31-05-2018,west
1794.0,01-06-2018,north
1623.0,01-06-2018,south
1665.0,01-06-2018,east
1671.0,01-06-2018,west
1752.0,02-06-2018,north
1707.0,02-06-2018,south
1797.0,02-06-2018,east
1668.0,02-06-2018,west
1596.0,03-06-2018,north
1503.0,03-06-2018,south
1578.0,03-06-2018,east
1680.0,03-06-2018,west
1608.0,04-06-2018,north
1683.0,04-06-2018,south
1572.0,04-06-2018,east
1656.0,04-06-2018,west
1713.0,05-06-2018,north
1698.0,05-06-2018,south
1557.0,05-06-2018,east
1782.0,05-06-2018,west
1695.0,06-06-2018,north
1680.0,06-06-2018,south
1761.0,06-06-2018,east
1659.0,06-06-2018,west
1518.0,07-06-2018,north
1572.0,07-06-2018,south
1785.0,07-06-2018,east
1557.0,07-06-2018,west
1719.0,08-06-2018,north
1677.0,08-06-2018,south
1695.0,08-06-2018,east
1602.0,08-06-2018,west
1782.0,09-06-2018,north
1773.0,09-06-2018,south
1656.0,09-06-2018,east
1665.0,09-06-2018,west
1578.0,10-06-2018,north
1641.0,10-06-2018,south
1737.0,10-06-2018,east
1557.0,10-06-2018,west
1788.0,11-06-2018,north
1677.0,11-06-2018,south
1698.0,11-06-2018,east
1728.0,11-06-2018,west
1776.0,12-06-2018,north
1551.0,12-06-2018,south
1548.0,12-06-2018,east
1542.0,12-06-2018,west
1683.0,13-06-2018,north
1683.0,13-06-2018,south
1572.0,13-06-2018,east
1683.0,13-06-2018,west
1761.0,14-06-2018,north
1668.0,14-06-2018,south
1599.0,14-06-2018,east
1593.0,14-06-2018,west
1623.0,15-06-2018,north
1737.0,15-06-2018,south
1593.0,15-06-2018,east
1788.0,15-06-2018,west
1659.0,16-06-2018,north
1641.0,16-06-2018,south
1575.0,16-06-2018,east
1611.0,16-06-2018,west
1599.0,17-06-2018,north
1530.0,17-06-2018,south
1608.0,17-06-2018,east
1626.0,17-06-2018,west
1530.0,18-06-2018,north
1707.0,18-06-2018,south
1611.0,18-06-2018,east
1635.0,18-06-2018,west
1593.0,19-06-2018,north
1749.0,19-06-2018,south
1623.0,19-06-2018,east
1608.0,19-06-2018,west
1665.0,20-06-2018,north
1659.0,20-06-2018,south
1734.0,20-06-2018,east
1557.0,20-06-2018,west
1797.0,21-06-2018,north
1587.0,21-06-2018,south
1557.0,21-06-2018,east
1542.0,21-06-2018,west
1743.0,22-06-2018,north
1797.0,22-06-2018,south
1686.0,22-06-2018,east
1683.0,22-06-2018,west
1791.0,23-06-2018,north
1554.0,23-06-2018,south
1695.0,23-06-2018,east
1566.0,23-06-2018,west
1563.0,24-06-2018,north
1623.0,24-06-2018,south
1530.0,24-06-2018,east
1662.0,24-06-2018,west
1650.0,25-06-2018,north
1602.0,25-06-2018,south
1548.0,25-06-2018,east
1623.0,25-06-2018,west
1728.0,26-06-2018,north
1533.0,26-06-2018,south
1503.0,26-06-2018,east
1629.0,26-06-2018,west
1581.0,27-06-2018,north
1659.0,27-06-2018,south
1707.0,27-06-2018,east
1665.0,27-06-2018,west
1563.0,28-06-2018,north
1638.0,28-06-2018,south
1692.0,28-06-2018,east
1503.0,28-06-2018,west
1686.0,29-06-2018,north
1764.0,29-06-2018,south
1629.0,29-06-2018,east
1779.0,29-06-2018,west
1554.0,30-06-2018,north
1653.0,30-06-2018,south
1515.0,30-06-2018,east
1557.0,30-06-2018,west
1746.0,01-07-2018,north
1671.0,01-07-2018,south
1716.0,01-07-2018,east
1554.0,01-07-2018,west
1695.0,02-07-2018,north
1611.0,02-07-2018,south
1680.0,02-07-2018,east
1671.0,02-07-2018,west
1644.0,03-07-2018,north
1638.0,03-07-2018,south
1623.0,03-07-2018,east
1515.0,03-07-2018,west
1743.0,04-07-2018,north
1587.0,04-07-2018,south
1764.0,04-07-2018,east
1572.0,04-07-2018,west
1752.0,05-07-2018,north
1647.0,05-07-2018,south
1575.0,05-07-2018,east
1500.0,05-07-2018,west
1743.0,06-07-2018,north
1566.0,06-07-2018,south
1758.0,06-07-2018,east
1689.0,06-07-2018,west
1776.0,07-07-2018,north
1770.0,07-07-2018,south
1695.0,07-07-2018,east
1566.0,07-07-2018,west
1623.0,08-07-2018,north
1776.0,08-07-2018,south
1515.0,08-07-2018,east
1761.0,08-07-2018,west
1623.0,09-07-2018,north
1788.0,09-07-2018,south
1542.0,09-07-2018,east
1515.0,09-07-2018,west
1794.0,10-07-2018,north
1794.0,10-07-2018,south
1755.0,10-07-2018,east
1761.0,10-07-2018,west
1605.0,11-07-2018,north
1569.0,11-07-2018,south
1638.0,11-07-2018,east
1677.0,11-07-2018,west
1593.0,12-07-2018,north
1500.0,12-07-2018,south
1539.0,12-07-2018,east
1719.0,12-07-2018,west
1749.0,13-07-2018,north
1596.0,13-07-2018,south
1680.0,13-07-2018,east
1509.0,13-07-2018,west
1500.0,14-07-2018,north
1653.0,14-07-2018,south
1620.0,14-07-2018,east
1575.0,14-07-2018,west
1737.0,15-07-2018,north
1713.0,15-07-2018,south
1698.0,15-07-2018,east
1539.0,15-07-2018,west
1773.0,16-07-2018,north
1707.0,16-07-2018,south
1554.0,16-07-2018,east
1515.0,16-07-2018,west
1551.0,17-07-2018,north
1566.0,17-07-2018,south
1788.0,17-07-2018,east
1614.0,17-07-2018,west
1704.0,18-07-2018,north
1656.0,18-07-2018,south
1530.0,18-07-2018,east
1659.0,18-07-2018,west
1620.0,19-07-2018,north
1725.0,19-07-2018,south
1704.0,19-07-2018,east
1527.0,19-07-2018,west
1731.0,20-07-2018,north
1761.0,20-07-2018,south
1644.0,20-07-2018,east
1653.0,20-07-2018,west
1725.0,21-07-2018,north
1698.0,21-07-2018,south
1662.0,21-07-2018,east
1656.0,21-07-2018,west
1608.0,22-07-2018,north
1773.0,22-07-2018,south
1659.0,22-07-2018,east
1647.0,22-07-2018,west
1638.0,23-07-2018,north
1623.0,23-07-2018,south
1719.0,23-07-2018,east
1629.0,23-07-2018,west
1701.0,24-07-2018,north
1725.0,24-07-2018,south
1752.0,24-07-2018,east
1557.0,24-07-2018,west
1500.0,25-07-2018,north
1707.0,25-07-2018,south
1533.0,25-07-2018,east
1737.0,25-07-2018,west
1605.0,26-07-2018,north
1767.0,26-07-2018,south
1551.0,26-07-2018,east
1521.0,26-07-2018,west
1659.0,27-07-2018,north
1611.0,27-07-2018,south
1695.0,27-07-2018,east
1632.0,27-07-2018,west
1515.0,28-07-2018,north
1584.0,28-07-2018,south
1596.0,28-07-2018,east
1743.0,28-07-2018,west
1791.0,29-07-2018,north
1599.0,29-07-2018,south
1749.0,29-07-2018,east
1755.0,29-07-2018,west
1755.0,30-07-2018,north
1662.0,30-07-2018,south
1509.0,30-07-2018,east
1776.0,30-07-2018,west
1695.0,31-07-2018,north
1707.0,31-07-2018,south
1548.0,31-07-2018,east
1578.0,31-07-2018,west
1563.0,01-08-2018,north
1674.0,01-08-2018,south
1554.0,01-08-2018,east
1665.0,01-08-2018,west
1527.0,02-08-2018,north
1617.0,02-08-2018,south
1548.0,02-08-2018,east
1671.0,02-08-2018,west
1668.0,03-08-2018,north
1671.0,03-08-2018,south
1719.0,03-08-2018,east
1668.0,03-08-2018,west
1536.0,04-08-2018,north
1734.0,04-08-2018,south
1743.0,04-08-2018,east
1776.0,04-08-2018,west
1650.0,05-08-2018,north
1599.0,05-08-2018,south
1614.0,05-08-2018,east
1773.0,05-08-2018,west
1611.0,06-08-2018,north
1605.0,06-08-2018,south
1554.0,06-08-2018,east
1788.0,06-08-2018,west
1566.0,07-08-2018,north
1560.0,07-08-2018,south
1551.0,07-08-2018,east
1626.0,07-08-2018,west
1665.0,08-08-2018,north
1539.0,08-08-2018,south
1506.0,08-08-2018,east
1617.0,08-08-2018,west
1797.0,09-08-2018,north
1794.0,09-08-2018,south
1620.0,09-08-2018,east
1683.0,09-08-2018,west
1620.0,10-08-2018,north
1554.0,10-08-2018,south
1701.0,10-08-2018,east
1785.0,10-08-2018,west
1689.0,11-08-2018,north
1650.0,11-08-2018,south
1533.0,11-08-2018,east
1587.0,11-08-2018,west
1509.0,12-08-2018,north
1743.0,12-08-2018,south
1719.0,12-08-2018,east
1743.0,12-08-2018,west
1701.0,13-08-2018,north
1629.0,13-08-2018,south
1638.0,13-08-2018,east
1611.0,13-08-2018,west
1623.0,14-08-2018,north
1635.0,14-08-2018,south
1716.0,14-08-2018,east
1707.0,14-08-2018,west
1602.0,15-08-2018,north
1542.0,15-08-2018,south
1800.0,15-08-2018,east
1734.0,15-08-2018,west
1788.0,16-08-2018,north
1614.0,16-08-2018,south
1743.0,16-08-2018,east
1770.0,16-08-2018,west
1776.0,17-08-2018,north
1713.0,17-08-2018,south
1623.0,17-08-2018,east
1752.0,17-08-2018,west
1527.0,18-08-2018,north
1776.0,18-08-2018,south
1689.0,18-08-2018,east
1713.0,18-08-2018,west
1509.0,19-08-2018,north
1575.0,19-08-2018,south
1701.0,19-08-2018,east
1575.0,19-08-2018,west
1581.0,20-08-2018,north
1779.0,20-08-2018,south
1662.0,20-08-2018,east
1506.0,20-08-2018,west
1794.0,21-08-2018,north
1659.0,21-08-2018,south
1644.0,21-08-2018,east
1707.0,21-08-2018,west
1704.0,22-08-2018,north
1500.0,22-08-2018,south
1539.0,22-08-2018,east
1800.0,22-08-2018,west
1557.0,23-08-2018,north
1554.0,23-08-2018,south
1788.0,23-08-2018,east
1563.0,23-08-2018,west
1548.0,24-08-2018,north
1560.0,24-08-2018,south
1734.0,24-08-2018,east
1644.0,24-08-2018,west
1629.0,25-08-2018,north
1677.0,25-08-2018,south
1764.0,25-08-2018,east
1515.0,25-08-2018,west
1542.0,26-08-2018,north
1545.0,26-08-2018,south
1668.0,26-08-2018,east
1584.0,26-08-2018,west
1605.0,27-08-2018,north
1740.0,27-08-2018,south
1602.0,27-08-2018,east
1509.0,27-08-2018,west
1566.0,28-08-2018,north
1680.0,28-08-2018,south
1656.0,28-08-2018,east
1722.0,28-08-2018,west
1662.0,29-08-2018,north
1794.0,29-08-2018,south
1734.0,29-08-2018,east
1647.0,29-08-2018,west
1635.0,30-08-2018,north
1743.0,30-08-2018,south
1665.0,30-08-2018,east
1770.0,30-08-2018,west
1749.0,31-08-2018,north
1695.0,31-08-2018,south
1644.0,31-08-2018,east
1602.0,31-08-2018,west
1560.0,01-09-2018,north
1500.0,01-09-2018,south
1719.0,01-09-2018,east
1557.0,01-09-2018,west
1527.0,02-09-2018,north
1653.0,02-09-2018,south
1506.0,02-09-2018,east
1575.0,02-09-2018,west
1749.0,03-09-2018,north
1770.0,03-09-2018,south
1674.0,03-09-2018,east
1650.0,03-09-2018,west
1794.0,04-09-2018,north
1509.0,04-09-2018,south
1785.0,04-09-2018,east
1539.0,04-09-2018,west
1731.0,05-09-2018,north
1617.0,05-09-2018,south
1656.0,05-09-2018,east
1599.0,05-09-2018,west
1713.0,06-09-2018,north
1506.0,06-09-2018,south
1758.0,06-09-2018,east
1650.0,06-09-2018,west
1791.0,07-09-2018,north
1623.0,07-09-2018,south
1776.0,07-09-2018,east
1653.0,07-09-2018,west
1659.0,08-09-2018,north
1755.0,08-09-2018,south
1533.0,08-09-2018,east
1557.0,08-09-2018,west
1527.0,09-09-2018,north
1614.0,09-09-2018,south
1638.0,09-09-2018,east
1704.0,09-09-2018,west
1650.0,10-09-2018,north
1656.0,10-09-2018,south
1782.0,10-09-2018,east
1527.0,10-09-2018,west
1578.0,11-09-2018,north
1767.0,11-09-2018,south
1749.0,11-09-2018,east
1524.0,11-09-2018,west
1719.0,12-09-2018,north
1695.0,12-09-2018,south
1740.0,12-09-2018,east
1533.0,12-09-2018,west
1653.0,13-09-2018,north
1560.0,13-09-2018,south
1677.0,13-09-2018,east
1539.0,13-09-2018,west
1713.0,14-09-2018,north
1554.0,14-09-2018,south
1743.0,14-09-2018,east
1701.0,14-09-2018,west
1587.0,15-09-2018,north
1512.0,15-09-2018,south
1698.0,15-09-2018,east
1746.0,15-09-2018,west
1554.0,16-09-2018,north
1554.0,16-09-2018,south
1782.0,16-09-2018,east
1782.0,16-09-2018,west
1764.0,17-09-2018,north
1620.0,17-09-2018,south
1545.0,17-09-2018,east
1722.0,17-09-2018,west
1503.0,18-09-2018,north
1530.0,18-09-2018,south
1737.0,18-09-2018,east
1692.0,18-09-2018,west
1542.0,19-09-2018,north
1758.0,19-09-2018,south
1779.0,19-09-2018,east
1593.0,19-09-2018,west
1686.0,20-09-2018,north
1749.0,20-09-2018,south
1662.0,20-09-2018,east
1569.0,20-09-2018,west
1590.0,21-09-2018,north
1665.0,21-09-2018,south
1716.0,21-09-2018,east
1704.0,21-09-2018,west
1632.0,22-09-2018,north
1581.0,22-09-2018,south
1758.0,22-09-2018,east
1641.0,22-09-2018,west
1731.0,23-09-2018,north
1677.0,23-09-2018,south
1728.0,23-09-2018,east
1755.0,23-09-2018,west
1611.0,24-09-2018,north
1593.0,24-09-2018,south
1797.0,24-09-2018,east
1560.0,24-09-2018,west
1530.0,25-09-2018,north
1770.0,25-09-2018,south
1611.0,25-09-2018,east
1701.0,25-09-2018,west
1617.0,26-09-2018,north
1515.0,26-09-2018,south
1713.0,26-09-2018,east
1500.0,26-09-2018,west
1632.0,27-09-2018,north
1713.0,27-09-2018,south
1743.0,27-09-2018,east
1587.0,27-09-2018,west
1749.0,28-09-2018,north
1533.0,28-09-2018,south
1653.0,28-09-2018,east
1512.0,28-09-2018,west
1518.0,29-09-2018,north
1623.0,29-09-2018,south
1701.0,29-09-2018,east
1596.0,29-09-2018,west
1746.0,30-09-2018,north
1536.0,30-09-2018,south
1659.0,30-09-2018,east
1524.0,30-09-2018,west
1782.0,01-10-2018,north
1632.0,01-10-2018,south
1755.0,01-10-2018,east
1650.0,01-10-2018,west
1680.0,02-10-2018,north
1701.0,02-10-2018,south
1800.0,02-10-2018,east
1740.0,02-10-2018,west
1563.0,03-10-2018,north
1788.0,03-10-2018,south
1536.0,03-10-2018,east
1764.0,03-10-2018,west
1512.0,04-10-2018,north
1560.0,04-10-2018,south
1626.0,04-10-2018,east
1797.0,04-10-2018,west
1779.0,05-10-2018,north
1683.0,05-10-2018,south
1713.0,05-10-2018,east
1794.0,05-10-2018,west
1584.0,06-10-2018,north
1647.0,06-10-2018,south
1596.0,06-10-2018,east
1515.0,06-10-2018,west
1533.0,07-10-2018,north
1608.0,07-10-2018,south
1794.0,07-10-2018,east
1578.0,07-10-2018,west
1701.0,08-10-2018,north
1617.0,08-10-2018,south
1779.0,08-10-2018,east
1785.0,08-10-2018,west
1680.0,09-10-2018,north
1590.0,09-10-2018,south
1551.0,09-10-2018,east
1587.0,09-10-2018,west
1749.0,10-10-2018,north
1701.0,10-10-2018,south
1599.0,10-10-2018,east
1506.0,10-10-2018,west
1596.0,11-10-2018,north
1800.0,11-10-2018,south
1749.0,11-10-2018,east
1674.0,11-10-2018,west
1782.0,12-10-2018,north
1647.0,12-10-2018,south
1542.0,12-10-2018,east
1656.0,12-10-2018,west
1581.0,13-10-2018,north
1713.0,13-10-2018,south
